##########################################################################################
################## Effectiveness Evaluation for ErrorInducedQuery-BM25 ###################
##########################################################################################

Evaluation Measures:
MAP: 0.22
MRR: 0.54
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.333333
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-1410         1         R         0.20         1.000000
1         CACM-1605         2         R         0.40         1.000000
1         CACM-2054         3         N         0.40         0.666667
1         CACM-1161         4         N         0.40         0.500000
1         CACM-1641         5         N         0.40         0.400000
1         CACM-1506         6         N         0.40         0.333333
1         CACM-0616         7         N         0.40         0.285714
1         CACM-1956         8         N         0.40         0.250000
1         CACM-1811         9         N         0.40         0.222222
1         CACM-0637         10        N         0.40         0.200000
1         CACM-1295         11        N         0.40         0.181818
1         CACM-2483         12        N         0.40         0.166667
1         CACM-1572         13        R         0.60         0.230769
1         CACM-2175         14        N         0.60         0.214286
1         CACM-2319         15        N         0.60         0.200000
1         CACM-2767         16        N         0.60         0.187500
1         CACM-1735         17        N         0.60         0.176471
1         CACM-2931         18        N         0.60         0.166667
1         CACM-1225         19        N         0.60         0.157895
1         CACM-1113         20        N         0.60         0.150000
1         CACM-2340         21        N         0.60         0.142857
1         CACM-2188         22        N         0.60         0.136364
1         CACM-0435         23        N         0.60         0.130435
1         CACM-2249         24        N         0.60         0.125000
1         CACM-2177         25        N         0.60         0.120000
1         CACM-2620         26        N         0.60         0.115385
1         CACM-1525         27        N         0.60         0.111111
1         CACM-2929         28        N         0.60         0.107143
1         CACM-1455         29        N         0.60         0.103448
1         CACM-2838         30        N         0.60         0.100000
1         CACM-0644         31        N         0.60         0.096774
1         CACM-2438         32        N         0.60         0.093750
1         CACM-3142         33        N         0.60         0.090909
1         CACM-1700         34        N         0.60         0.088235
1         CACM-1033         35        N         0.60         0.085714
1         CACM-1166         36        N         0.60         0.083333
1         CACM-3041         37        N         0.60         0.081081
1         CACM-2889         38        N         0.60         0.078947
1         CACM-2856         39        N         0.60         0.076923
1         CACM-2388         40        N         0.60         0.075000
1         CACM-1936         41        N         0.60         0.073171
1         CACM-0103         42        N         0.60         0.071429
1         CACM-1962         43        N         0.60         0.069767
1         CACM-1179         44        N         0.60         0.068182
1         CACM-2687         45        N         0.60         0.066667
1         CACM-3103         46        N         0.60         0.065217
1         CACM-1862         47        N         0.60         0.063830
1         CACM-1264         48        N         0.60         0.062500
1         CACM-2989         49        N         0.60         0.061224
1         CACM-1827         50        N         0.60         0.060000
1         CACM-2288         51        N         0.60         0.058824
1         CACM-2263         52        N         0.60         0.057692
1         CACM-1523         53        N         0.60         0.056604
1         CACM-2598         54        N         0.60         0.055556
1         CACM-1464         55        N         0.60         0.054545
1         CACM-2722         56        N         0.60         0.053571
1         CACM-0397         57        N         0.60         0.052632
1         CACM-1591         58        N         0.60         0.051724
1         CACM-2567         59        N         0.60         0.050847
1         CACM-3001         60        N         0.60         0.050000
1         CACM-2233         61        N         0.60         0.049180
1         CACM-2537         62        N         0.60         0.048387
1         CACM-1976         63        N         0.60         0.047619
1         CACM-3156         64        N         0.60         0.046875
1         CACM-2297         65        N         0.60         0.046154
1         CACM-1540         66        N         0.60         0.045455
1         CACM-1739         67        N         0.60         0.044776
1         CACM-3163         68        N         0.60         0.044118
1         CACM-2911         69        N         0.60         0.043478
1         CACM-1258         70        N         0.60         0.042857
1         CACM-2922         71        N         0.60         0.042254
1         CACM-2720         72        N         0.60         0.041667
1         CACM-3069         73        N         0.60         0.041096
1         CACM-3074         74        N         0.60         0.040541
1         CACM-3077         75        N         0.60         0.040000
1         CACM-1685         76        N         0.60         0.039474
1         CACM-1350         77        N         0.60         0.038961
1         CACM-1647         78        N         0.60         0.038462
1         CACM-1691         79        N         0.60         0.037975
1         CACM-3153         80        N         0.60         0.037500
1         CACM-2017         81        N         0.60         0.037037
1         CACM-2359         82        N         0.60         0.036585
1         CACM-1408         83        N         0.60         0.036145
1         CACM-1626         84        N         0.60         0.035714
1         CACM-1145         85        N         0.60         0.035294
1         CACM-2766         86        N         0.60         0.034884
1         CACM-3005         87        N         0.60         0.034483
1         CACM-1928         88        N         0.60         0.034091
1         CACM-0040         89        N         0.60         0.033708
1         CACM-1409         90        N         0.60         0.033333
1         CACM-1622         91        N         0.60         0.032967
1         CACM-3023         92        N         0.60         0.032609
1         CACM-2726         93        N         0.60         0.032258
1         CACM-2916         94        N         0.60         0.031915
1         CACM-1642         95        N         0.60         0.031579
1         CACM-2134         96        N         0.60         0.031250
1         CACM-2201         97        N         0.60         0.030928
1         CACM-1215         98        N         0.60         0.030612
1         CACM-0695         99        N         0.60         0.030303
1         CACM-1810         100       N         0.60         0.030000


QueryID: 2
P@K = 5: 0.500000
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
2         CACM-2434         1         R         0.33         1.000000
2         CACM-2863         2         R         0.67         1.000000
2         CACM-3078         3         R         1.00         1.000000
2         CACM-0616         4         N         1.00         0.750000
2         CACM-1931         5         N         1.00         0.600000
2         CACM-1012         6         N         1.00         0.500000
2         CACM-1062         7         N         1.00         0.428571
2         CACM-2554         8         N         1.00         0.375000
2         CACM-3136         9         N         1.00         0.333333
2         CACM-2650         10        N         1.00         0.300000
2         CACM-3047         11        N         1.00         0.272727
2         CACM-2714         12        N         1.00         0.250000
2         CACM-3129         13        N         1.00         0.230769
2         CACM-1844         14        N         1.00         0.214286
2         CACM-1634         15        N         1.00         0.200000
2         CACM-1307         16        N         1.00         0.187500
2         CACM-2939         17        N         1.00         0.176471
2         CACM-3117         18        N         1.00         0.166667
2         CACM-1258         19        N         1.00         0.157895
2         CACM-1182         20        N         1.00         0.150000
2         CACM-1930         21        N         1.00         0.142857
2         CACM-1470         22        N         1.00         0.136364
2         CACM-1652         23        N         1.00         0.130435
2         CACM-2421         24        N         1.00         0.125000
2         CACM-1197         25        N         1.00         0.120000
2         CACM-2986         26        N         1.00         0.115385
2         CACM-1671         27        N         1.00         0.111111
2         CACM-2195         28        N         1.00         0.107143
2         CACM-1827         29        N         1.00         0.103448
2         CACM-1977         30        N         1.00         0.100000
2         CACM-2971         31        N         1.00         0.096774
2         CACM-0867         32        N         1.00         0.093750
2         CACM-3033         33        N         1.00         0.090909
2         CACM-2887         34        N         1.00         0.088235
2         CACM-2786         35        N         1.00         0.085714
2         CACM-1879         36        N         1.00         0.083333
2         CACM-0637         37        N         1.00         0.081081
2         CACM-2470         38        N         1.00         0.078947
2         CACM-2423         39        N         1.00         0.076923
2         CACM-2812         40        N         1.00         0.075000
2         CACM-0441         41        N         1.00         0.073171
2         CACM-2905         42        N         1.00         0.071429
2         CACM-0854         43        N         1.00         0.069767
2         CACM-2438         44        N         1.00         0.068182
2         CACM-1753         45        N         1.00         0.066667
2         CACM-1978         46        N         1.00         0.065217
2         CACM-1143         47        N         1.00         0.063830
2         CACM-2125         48        N         1.00         0.062500
2         CACM-0527         49        N         1.00         0.061224
2         CACM-1638         50        N         1.00         0.060000
2         CACM-1619         51        N         1.00         0.058824
2         CACM-3092         52        N         1.00         0.057692
2         CACM-3048         53        N         1.00         0.056604
2         CACM-2947         54        N         1.00         0.055556
2         CACM-2202         55        N         1.00         0.054545
2         CACM-2039         56        N         1.00         0.053571
2         CACM-0497         57        N         1.00         0.052632
2         CACM-2688         58        N         1.00         0.051724
2         CACM-1741         59        N         1.00         0.050847
2         CACM-3003         60        N         1.00         0.050000
2         CACM-1770         61        N         1.00         0.049180
2         CACM-1415         62        N         1.00         0.048387
2         CACM-1821         63        N         1.00         0.047619
2         CACM-1072         64        N         1.00         0.046875
2         CACM-1910         65        N         1.00         0.046154
2         CACM-1861         66        N         1.00         0.045455
2         CACM-1843         67        N         1.00         0.044776
2         CACM-1764         68        N         1.00         0.044118
2         CACM-1433         69        N         1.00         0.043478
2         CACM-3145         70        N         1.00         0.042857
2         CACM-2556         71        N         1.00         0.042254
2         CACM-1650         72        N         1.00         0.041667
2         CACM-2981         73        N         1.00         0.041096
2         CACM-3202         74        N         1.00         0.040541
2         CACM-2664         75        N         1.00         0.040000
2         CACM-2623         76        N         1.00         0.039474
