##########################################################################################
################## Effectiveness Evaluation for SoftQueryMatching-BM25 ###################
##########################################################################################

Evaluation Measures:
MAP: 0.28
MRR: 0.71
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.333333
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-1605         1         R         0.20         1.000000
1         CACM-1410         2         R         0.40         1.000000
1         CACM-3069         3         N         0.40         0.666667
1         CACM-2319         4         N         0.40         0.500000
1         CACM-2380         5         N         0.40         0.400000
1         CACM-1523         6         N         0.40         0.333333
1         CACM-1506         7         N         0.40         0.285714
1         CACM-2054         8         N         0.40         0.250000
1         CACM-2947         9         N         0.40         0.222222
1         CACM-1572         10        R         0.60         0.300000
1         CACM-1591         11        N         0.60         0.272727
1         CACM-2379         12        N         0.60         0.250000
1         CACM-0585         13        N         0.60         0.230769
1         CACM-1519         14        N         0.60         0.214286
1         CACM-2188         15        N         0.60         0.200000
1         CACM-1938         16        N         0.60         0.187500
1         CACM-1827         17        N         0.60         0.176471
1         CACM-1161         18        N         0.60         0.166667
1         CACM-1408         19        N         0.60         0.157895
1         CACM-1805         20        N         0.60         0.150000
1         CACM-2632         21        N         0.60         0.142857
1         CACM-1264         22        N         0.60         0.136364
1         CACM-1033         23        N         0.60         0.130435
1         CACM-0637         24        N         0.60         0.125000
1         CACM-2838         25        N         0.60         0.120000
1         CACM-1464         26        N         0.60         0.115385
1         CACM-1225         27        N         0.60         0.111111
1         CACM-1885         28        N         0.60         0.107143
1         CACM-2297         29        N         0.60         0.103448
1         CACM-1956         30        N         0.60         0.100000
1         CACM-1680         31        N         0.60         0.096774
1         CACM-1544         32        N         0.60         0.093750
1         CACM-1811         33        N         0.60         0.090909
1         CACM-2621         34        N         0.60         0.088235
1         CACM-1844         35        N         0.60         0.085714
1         CACM-2535         36        N         0.60         0.083333
1         CACM-1642         37        N         0.60         0.081081
1         CACM-1698         38        N         0.60         0.078947
1         CACM-1685         39        N         0.60         0.076923
1         CACM-2767         40        N         0.60         0.075000
1         CACM-1647         41        N         0.60         0.073171
1         CACM-3127         42        N         0.60         0.071429
1         CACM-2820         43        N         0.60         0.069767
1         CACM-2003         44        N         0.60         0.068182
1         CACM-2951         45        N         0.60         0.066667
1         CACM-3025         46        N         0.60         0.065217
1         CACM-1307         47        N         0.60         0.063830
1         CACM-2989         48        N         0.60         0.062500
1         CACM-1641         49        N         0.60         0.061224
1         CACM-2357         50        N         0.60         0.060000
1         CACM-2424         51        N         0.60         0.058824
1         CACM-0616         52        N         0.60         0.057692
1         CACM-3153         53        N         0.60         0.056604
1         CACM-2764         54        N         0.60         0.055556
1         CACM-2245         55        N         0.60         0.054545
1         CACM-1626         56        N         0.60         0.053571
1         CACM-1366         57        N         0.60         0.052632
1         CACM-2288         58        N         0.60         0.051724
1         CACM-2176         59        N         0.60         0.050847
1         CACM-1750         60        N         0.60         0.050000
1         CACM-2740         61        N         0.60         0.049180
1         CACM-1179         62        N         0.60         0.048387
1         CACM-1236         63        N         0.60         0.047619
1         CACM-2946         64        N         0.60         0.046875
1         CACM-1792         65        N         0.60         0.046154
1         CACM-2950         66        N         0.60         0.045455
1         CACM-1003         67        N         0.60         0.044776
1         CACM-2542         68        N         0.60         0.044118
1         CACM-1526         69        N         0.60         0.043478
1         CACM-1962         70        N         0.60         0.042857
1         CACM-2378         71        N         0.60         0.042254
1         CACM-2719         72        N         0.60         0.041667
1         CACM-1679         73        N         0.60         0.041096
1         CACM-2344         74        N         0.60         0.040541
1         CACM-0972         75        N         0.60         0.040000
1         CACM-0284         76        N         0.60         0.039474
1         CACM-2988         77        N         0.60         0.038961
1         CACM-2017         78        N         0.60         0.038462
1         CACM-2929         79        N         0.60         0.037975
1         CACM-2560         80        N         0.60         0.037500
