##########################################################################################
###################### Effectiveness Evaluation for NoTextTran-BM25 ######################
##########################################################################################

Evaluation Measures:
MAP: 0.34
MRR: 0.79
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.333333
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-1410         1         R         0.20         1.000000
1         CACM-1605         2         R         0.40         1.000000
1         CACM-2319         3         N         0.40         0.666667
1         CACM-1506         4         N         0.40         0.500000
1         CACM-2054         5         N         0.40         0.400000
1         CACM-2380         6         N         0.40         0.333333
1         CACM-1523         7         N         0.40         0.285714
1         CACM-1591         8         N         0.40         0.250000
1         CACM-2379         9         N         0.40         0.222222
1         CACM-0585         10        N         0.40         0.200000
1         CACM-1519         11        N         0.40         0.181818
1         CACM-3069         12        N         0.40         0.166667
1         CACM-1827         13        N         0.40         0.153846
1         CACM-1161         14        N         0.40         0.142857
1         CACM-1805         15        N         0.40         0.133333
1         CACM-2632         16        N         0.40         0.125000
1         CACM-1264         17        N         0.40         0.117647
1         CACM-1033         18        N         0.40         0.111111
1         CACM-0637         19        N         0.40         0.105263
1         CACM-1464         20        N         0.40         0.100000
1         CACM-1572         21        R         0.60         0.142857
1         CACM-2188         22        N         0.60         0.136364
1         CACM-1544         23        N         0.60         0.130435
1         CACM-1680         24        N         0.60         0.125000
1         CACM-1811         25        N         0.60         0.120000
1         CACM-1938         26        N         0.60         0.115385
1         CACM-1844         27        N         0.60         0.111111
1         CACM-2535         28        N         0.60         0.107143
1         CACM-2947         29        N         0.60         0.103448
1         CACM-2621         30        N         0.60         0.100000
1         CACM-2767         31        N         0.60         0.096774
1         CACM-1647         32        N         0.60         0.093750
1         CACM-1408         33        N         0.60         0.090909
1         CACM-0397         34        N         0.60         0.088235
1         CACM-1642         35        N         0.60         0.085714
1         CACM-2003         36        N         0.60         0.083333
1         CACM-3127         37        N         0.60         0.081081
1         CACM-1225         38        N         0.60         0.078947
1         CACM-1641         39        N         0.60         0.076923
1         CACM-2951         40        N         0.60         0.075000
1         CACM-3025         41        N         0.60         0.073171
1         CACM-2297         42        N         0.60         0.071429
1         CACM-2424         43        N         0.60         0.069767
1         CACM-2357         44        N         0.60         0.068182
1         CACM-1956         45        N         0.60         0.066667
1         CACM-0616         46        N         0.60         0.065217
1         CACM-1698         47        N         0.60         0.063830
1         CACM-3153         48        N         0.60         0.062500
1         CACM-1626         49        N         0.60         0.061224
1         CACM-2288         50        N         0.60         0.060000
1         CACM-2838         51        N         0.60         0.058824
1         CACM-1750         52        N         0.60         0.057692
1         CACM-2740         53        N         0.60         0.056604
1         CACM-1179         54        N         0.60         0.055556
1         CACM-2946         55        N         0.60         0.054545
1         CACM-2950         56        N         0.60         0.053571
1         CACM-2378         57        N         0.60         0.052632
1         CACM-1962         58        N         0.60         0.051724
1         CACM-0972         59        N         0.60         0.050847
1         CACM-2344         60        N         0.60         0.050000
1         CACM-1885         61        N         0.60         0.049180
1         CACM-2175         62        N         0.60         0.048387
1         CACM-2372         63        N         0.60         0.047619
1         CACM-1699         64        N         0.60         0.046875
1         CACM-1735         65        N         0.60         0.046154
1         CACM-1173         66        N         0.60         0.045455
1         CACM-1753         67        N         0.60         0.044776
1         CACM-1525         68        N         0.60         0.044118
1         CACM-1226         69        N         0.60         0.043478
1         CACM-1341         70        N         0.60         0.042857
1         CACM-2201         71        N         0.60         0.042254
1         CACM-1113         72        N         0.60         0.041667
1         CACM-1685         73        N         0.60         0.041096
1         CACM-2622         74        N         0.60         0.040541
1         CACM-1542         75        N         0.60         0.040000
1         CACM-2541         76        N         0.60         0.039474
1         CACM-2438         77        N         0.60         0.038961
1         CACM-2184         78        N         0.60         0.038462
1         CACM-3041         79        N         0.60         0.037975
1         CACM-2483         80        N         0.60         0.037500
1         CACM-3103         81        N         0.60         0.037037
1         CACM-3048         82        N         0.60         0.036585
1         CACM-2247         83        N         0.60         0.036145
1         CACM-2371         84        N         0.60         0.035714
1         CACM-2177         85        N         0.60         0.035294
1         CACM-1749         86        N         0.60         0.034884
1         CACM-3087         87        N         0.60         0.034483
1         CACM-1307         88        N         0.60         0.034091
1         CACM-0040         89        N         0.60         0.033708
1         CACM-1862         90        N         0.60         0.033333
1         CACM-0971         91        N         0.60         0.032967
1         CACM-0435         92        N         0.60         0.032609
1         CACM-2722         93        N         0.60         0.032258
1         CACM-1295         94        N         0.60         0.031915
1         CACM-2245         95        N         0.60         0.031579
1         CACM-1455         96        N         0.60         0.031250
1         CACM-2625         97        N         0.60         0.030928
1         CACM-3112         98        N         0.60         0.030612
1         CACM-2567         99        N         0.60         0.030303
1         CACM-1700         100       N         0.60         0.030000


QueryID: 2
P@K = 5: 0.500000
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
2         CACM-3078         1         R         0.33         1.000000
2         CACM-2434         2         R         0.67         1.000000
2         CACM-0616         3         N         0.67         0.666667
2         CACM-2863         4         R         1.00         0.750000
2         CACM-1046         5         N         1.00         0.600000
2         CACM-1012         6         N         1.00         0.500000
2         CACM-1931         7         N         1.00         0.428571
2         CACM-0531         8         N         1.00         0.375000
2         CACM-3129         9         N         1.00         0.333333
2         CACM-1397         10        N         1.00         0.300000
2         CACM-1623         11        N         1.00         0.272727
2         CACM-0397         12        N         1.00         0.250000
2         CACM-1867         13        N         1.00         0.230769
2         CACM-2554         14        N         1.00         0.214286
2         CACM-1062         15        N         1.00         0.200000
2         CACM-3136         16        N         1.00         0.187500
2         CACM-1264         17        N         1.00         0.176471
2         CACM-2939         18        N         1.00         0.166667
2         CACM-1652         19        N         1.00         0.157895
2         CACM-1014         20        N         1.00         0.150000
2         CACM-2177         21        N         1.00         0.142857
2         CACM-1977         22        N         1.00         0.136364
2         CACM-1671         23        N         1.00         0.130435
2         CACM-2650         24        N         1.00         0.125000
2         CACM-2786         25        N         1.00         0.120000
2         CACM-3202         26        N         1.00         0.115385
2         CACM-2812         27        N         1.00         0.111111
2         CACM-0435         28        N         1.00         0.107143
2         CACM-3117         29        N         1.00         0.103448
2         CACM-2714         30        N         1.00         0.100000
2         CACM-0492         31        N         1.00         0.096774
2         CACM-1861         32        N         1.00         0.093750
2         CACM-3047         33        N         1.00         0.090909
2         CACM-1634         34        N         1.00         0.088235
2         CACM-1741         35        N         1.00         0.085714
2         CACM-1010         36        N         1.00         0.083333
2         CACM-1844         37        N         1.00         0.081081
2         CACM-2905         38        N         1.00         0.078947
2         CACM-1258         39        N         1.00         0.076923
2         CACM-3033         40        N         1.00         0.075000
2         CACM-1182         41        N         1.00         0.073171
2         CACM-1307         42        N         1.00         0.071429
2         CACM-1519         43        N         1.00         0.069767
2         CACM-2195         44        N         1.00         0.068182
2         CACM-2572         45        N         1.00         0.066667
2         CACM-0854         46        N         1.00         0.065217
2         CACM-2125         47        N         1.00         0.063830
2         CACM-1764         48        N         1.00         0.062500
2         CACM-1334         49        N         1.00         0.061224
2         CACM-1930         50        N         1.00         0.060000
2         CACM-1470         51        N         1.00         0.058824
2         CACM-1827         52        N         1.00         0.057692
2         CACM-2421         53        N         1.00         0.056604
2         CACM-1197         54        N         1.00         0.055556
2         CACM-0867         55        N         1.00         0.054545
2         CACM-2986         56        N         1.00         0.053571
2         CACM-2887         57        N         1.00         0.052632
2         CACM-0637         58        N         1.00         0.051724
2         CACM-1879         59        N         1.00         0.050847
2         CACM-1676         60        N         1.00         0.050000
2         CACM-2971         61        N         1.00         0.049180
2         CACM-2916         62        N         1.00         0.048387
2         CACM-1915         63        N         1.00         0.047619
2         CACM-0441         64        N         1.00         0.046875
2         CACM-2438         65        N         1.00         0.046154
2         CACM-1753         66        N         1.00         0.045455
2         CACM-2215         67        N         1.00         0.044776
2         CACM-2304         68        N         1.00         0.044118
2         CACM-1978         69        N         1.00         0.043478
2         CACM-1143         70        N         1.00         0.042857
2         CACM-0527         71        N         1.00         0.042254
2         CACM-2039         72        N         1.00         0.041667
2         CACM-2470         73        N         1.00         0.041096
2         CACM-2423         74        N         1.00         0.040541
2         CACM-0670         75        N         1.00         0.040000
2         CACM-1638         76        N         1.00         0.039474
