##########################################################################################
##################### Effectiveness Evaluation for NoTextTran-Lucene #####################
##########################################################################################

Evaluation Measures:
MAP: 0.28
MRR: 0.71
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.166667
P@K = 20: 0.095238


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-1657         1         N         0.00         0.000000
1         CACM-1410         2         R         0.20         0.500000
1         CACM-2319         3         N         0.20         0.333333
1         CACM-1938         4         N         0.20         0.250000
1         CACM-1827         5         N         0.20         0.200000
1         CACM-2218         6         N         0.20         0.166667
1         CACM-2054         7         N         0.20         0.142857
1         CACM-1844         8         N         0.20         0.125000
1         CACM-2629         9         N         0.20         0.111111
1         CACM-1605         10        R         0.40         0.200000
1         CACM-2357         11        N         0.40         0.181818
1         CACM-1591         12        N         0.40         0.166667
1         CACM-1161         13        N         0.40         0.153846
1         CACM-1033         14        N         0.40         0.142857
1         CACM-2378         15        N         0.40         0.133333
1         CACM-2379         16        N         0.40         0.125000
1         CACM-1749         17        N         0.40         0.117647
1         CACM-2535         18        N         0.40         0.111111
1         CACM-1698         19        N         0.40         0.105263
1         CACM-1487         20        N         0.40         0.100000
1         CACM-2371         21        N         0.40         0.095238
1         CACM-2541         22        N         0.40         0.090909
1         CACM-2947         23        N         0.40         0.086957
1         CACM-2950         24        N         0.40         0.083333
1         CACM-1506         25        N         0.40         0.080000
1         CACM-1519         26        N         0.40         0.076923
1         CACM-2151         27        N         0.40         0.074074
1         CACM-2501         28        N         0.40         0.071429
1         CACM-2424         29        N         0.40         0.068966
1         CACM-1572         30        R         0.60         0.100000
1         CACM-2946         31        N         0.60         0.096774
1         CACM-1908         32        N         0.60         0.093750
1         CACM-2632         33        N         0.60         0.090909
1         CACM-2219         34        N         0.60         0.088235
1         CACM-2344         35        N         0.60         0.085714
1         CACM-1805         36        N         0.60         0.083333
1         CACM-0637         37        N         0.60         0.081081
1         CACM-1225         38        N         0.60         0.078947
1         CACM-1544         39        N         0.60         0.076923
1         CACM-1408         40        N         0.60         0.075000
1         CACM-1523         41        N         0.60         0.073171
1         CACM-1391         42        N         0.60         0.071429
1         CACM-1752         43        N         0.60         0.069767
1         CACM-2003         44        N         0.60         0.068182
1         CACM-1647         45        N         0.60         0.066667
1         CACM-2380         46        N         0.60         0.065217
1         CACM-0585         47        N         0.60         0.063830
1         CACM-1071         48        N         0.60         0.062500
1         CACM-1226         49        N         0.60         0.061224
1         CACM-2764         50        N         0.60         0.060000
1         CACM-1393         51        N         0.60         0.058824
1         CACM-2948         52        N         0.60         0.057692
1         CACM-1680         53        N         0.60         0.056604
1         CACM-0698         54        N         0.60         0.055556
1         CACM-1685         55        N         0.60         0.054545
1         CACM-1462         56        N         0.60         0.053571
1         CACM-1854         57        N         0.60         0.052632
1         CACM-1464         58        N         0.60         0.051724
1         CACM-2500         59        N         0.60         0.050847
1         CACM-2920         60        N         0.60         0.050000
1         CACM-1750         61        N         0.60         0.049180
1         CACM-3068         62        N         0.60         0.048387
1         CACM-3127         63        N         0.60         0.047619
1         CACM-1264         64        N         0.60         0.046875
1         CACM-3023         65        N         0.60         0.046154
1         CACM-2522         66        N         0.60         0.045455
1         CACM-1315         67        N         0.60         0.044776
1         CACM-1747         68        N         0.60         0.044118
1         CACM-3025         69        N         0.60         0.043478
1         CACM-2365         70        N         0.60         0.042857
1         CACM-2439         71        N         0.60         0.042254
1         CACM-2317         72        N         0.60         0.041667
1         CACM-2838         73        N         0.60         0.041096
1         CACM-1440         74        N         0.60         0.040541
1         CACM-1542         75        N         0.60         0.040000
1         CACM-3011         76        N         0.60         0.039474
1         CACM-2358         77        R         0.80         0.051948
1         CACM-2917         78        N         0.80         0.051282
1         CACM-2201         79        N         0.80         0.050633
1         CACM-1590         80        N         0.80         0.050000
1         CACM-2841         81        N         0.80         0.049383
1         CACM-2740         82        N         0.80         0.048780
1         CACM-2080         83        N         0.80         0.048193
1         CACM-1046         84        N         0.80         0.047619
1         CACM-3069         85        N         0.80         0.047059
1         CACM-3174         86        N         0.80         0.046512
1         CACM-0971         87        N         0.80         0.045977
1         CACM-2092         88        N         0.80         0.045455
1         CACM-2681         89        N         0.80         0.044944
1         CACM-1885         90        N         0.80         0.044444
1         CACM-1828         91        N         0.80         0.043956
1         CACM-1626         92        N         0.80         0.043478
1         CACM-1892         93        N         0.80         0.043011
1         CACM-1753         94        N         0.80         0.042553
1         CACM-2390         95        N         0.80         0.042105
1         CACM-1179         96        N         0.80         0.041667
1         CACM-1173         97        N         0.80         0.041237
1         CACM-2560         98        N         0.80         0.040816
1         CACM-1960         99        N         0.80         0.040404
1         CACM-3065         100       N         0.80         0.040000


QueryID: 2
P@K = 5: 0.500000
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
2         CACM-2434         1         R         0.33         1.000000
2         CACM-3078         2         R         0.67         1.000000
2         CACM-3129         3         N         0.67         0.666667
2         CACM-2786         4         N         0.67         0.500000
2         CACM-2863         5         R         1.00         0.600000
2         CACM-1977         6         N         1.00         0.500000
2         CACM-2534         7         N         1.00         0.428571
2         CACM-0497         8         N         1.00         0.375000
2         CACM-3202         9         N         1.00         0.333333
2         CACM-2177         10        N         1.00         0.300000
2         CACM-0616         11        N         1.00         0.272727
2         CACM-3144         12        N         1.00         0.250000
2         CACM-1379         13        N         1.00         0.230769
2         CACM-1046         14        N         1.00         0.214286
2         CACM-2342         15        N         1.00         0.200000
2         CACM-1264         16        N         1.00         0.187500
2         CACM-1010         17        N         1.00         0.176471
2         CACM-0727         18        N         1.00         0.166667
2         CACM-1364         19        N         1.00         0.157895
2         CACM-1674         20        N         1.00         0.150000
2         CACM-1652         21        N         1.00         0.142857
2         CACM-2939         22        N         1.00         0.136364
2         CACM-3117         23        N         1.00         0.130435
2         CACM-1931         24        N         1.00         0.125000
2         CACM-3171         25        N         1.00         0.120000
2         CACM-1012         26        N         1.00         0.115385
2         CACM-2971         27        N         1.00         0.111111
2         CACM-1062         28        N         1.00         0.107143
2         CACM-0282         29        N         1.00         0.103448
2         CACM-2439         30        N         1.00         0.100000
2         CACM-1272         31        N         1.00         0.096774
2         CACM-2215         32        N         1.00         0.093750
2         CACM-2572         33        N         1.00         0.090909
2         CACM-2002         34        N         1.00         0.088235
2         CACM-1553         35        N         1.00         0.085714
2         CACM-2980         36        N         1.00         0.083333
2         CACM-2905         37        N         1.00         0.081081
2         CACM-1861         38        N         1.00         0.078947
2         CACM-0531         39        N         1.00         0.076923
2         CACM-1705         40        N         1.00         0.075000
2         CACM-1877         41        N         1.00         0.073171
2         CACM-2047         42        N         1.00         0.071429
2         CACM-1593         43        N         1.00         0.069767
2         CACM-2194         44        N         1.00         0.068182
2         CACM-1975         45        N         1.00         0.066667
2         CACM-1519         46        N         1.00         0.065217
2         CACM-2451         47        N         1.00         0.063830
2         CACM-1867         48        N         1.00         0.062500
2         CACM-1154         49        N         1.00         0.061224
2         CACM-1924         50        N         1.00         0.060000
2         CACM-2852         51        N         1.00         0.058824
2         CACM-1741         52        N         1.00         0.057692
2         CACM-0335         53        N         1.00         0.056604
2         CACM-1651         54        N         1.00         0.055556
2         CACM-1764         55        N         1.00         0.054545
2         CACM-1486         56        N         1.00         0.053571
2         CACM-2233         57        N         1.00         0.052632
2         CACM-1542         58        N         1.00         0.051724
2         CACM-1315         59        N         1.00         0.050847
2         CACM-1588         60        N         1.00         0.050000
2         CACM-2519         61        N         1.00         0.049180
2         CACM-1334         62        N         1.00         0.048387
2         CACM-2924         63        N         1.00         0.047619
2         CACM-0242         64        N         1.00         0.046875
2         CACM-2250         65        N         1.00         0.046154
2         CACM-2900         66        N         1.00         0.045455
2         CACM-1397         67        N         1.00         0.044776
2         CACM-3059         68        N         1.00         0.044118
2         CACM-0670         69        N         1.00         0.043478
2         CACM-2423         70        N         1.00         0.042857
2         CACM-3072         71        N         1.00         0.042254
2         CACM-1886         72        N         1.00         0.041667
2         CACM-2304         73        N         1.00         0.041096
2         CACM-1623         74        N         1.00         0.040541
2         CACM-3201         75        N         1.00         0.040000
2         CACM-2421         76        N         1.00         0.039474
2         CACM-3110         77        N         1.00         0.038961
2         CACM-1464         78        N         1.00         0.038462
2         CACM-3033         79        N         1.00         0.037975
2         CACM-1846         80        N         1.00         0.037500
2         CACM-0397         81        N         1.00         0.037037
2         CACM-1638         82        N         1.00         0.036585
2         CACM-2039         83        N         1.00         0.036145
2         CACM-2354         84        N         1.00         0.035714
2         CACM-1930         85        N         1.00         0.035294
2         CACM-3199         86        N         1.00         0.034884
2         CACM-2981         87        N         1.00         0.034483
2         CACM-2356         88        N         1.00         0.034091
2         CACM-1527         89        N         1.00         0.033708
2         CACM-2771         90        N         1.00         0.033333
2         CACM-2986         91        N         1.00         0.032967
2         CACM-1564         92        N         1.00         0.032609
2         CACM-1166         93        N         1.00         0.032258
2         CACM-3047         94        N         1.00         0.031915
2         CACM-2486         95        N         1.00         0.031579
2         CACM-2402         96        N         1.00         0.031250
2         CACM-2916         97        N         1.00         0.030928
2         CACM-2684         98        N         1.00         0.030612
2         CACM-2714         99        N         1.00         0.030303
2         CACM-1259         100       N         1.00         0.030000


QueryID: 3
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
3         CACM-1988         1         N         0.00         0.000000
3         CACM-2061         2         N         0.00         0.000000
3         CACM-2112         3         N         0.00         0.000000
3         CACM-2921         4         N         0.00         0.000000
3         CACM-0252         5         N         0.00         0.000000
3         CACM-1496         6         N         0.00         0.000000
3         CACM-0205         7         N         0.00         0.000000
3         CACM-2411         8         N         0.00         0.000000
3         CACM-1154         9         N         0.00         0.000000
3         CACM-3102         10        N         0.00         0.000000
3         CACM-1223         11        N         0.00         0.000000
3         CACM-1387         12        N         0.00         0.000000
3         CACM-1723         13        N         0.00         0.000000
3         CACM-2579         14        N         0.00         0.000000
3         CACM-0637         15        N         0.00         0.000000
3         CACM-3115         16        N         0.00         0.000000
3         CACM-3030         17        N         0.00         0.000000
3         CACM-1788         18        N         0.00         0.000000
3         CACM-3130         19        N         0.00         0.000000
3         CACM-1029         20        N         0.00         0.000000
3         CACM-1787         21        N         0.00         0.000000
3         CACM-2684         22        N         0.00         0.000000
3         CACM-3093         23        N         0.00         0.000000
3         CACM-2939         24        N         0.00         0.000000
3         CACM-2732         25        N         0.00         0.000000
3         CACM-1807         26        R         0.17         0.038462
3         CACM-0799         27        N         0.17         0.037037
3         CACM-2886         28        N         0.17         0.035714
3         CACM-2867         29        N         0.17         0.034483
3         CACM-1533         30        N         0.17         0.033333
3         CACM-3099         31        N         0.17         0.032258
3         CACM-1350         32        N         0.17         0.031250
3         CACM-1852         33        N         0.17         0.030303
3         CACM-3171         34        N         0.17         0.029412
3         CACM-2929         35        N         0.17         0.028571
3         CACM-1134         36        R         0.33         0.055556
3         CACM-1947         37        R         0.50         0.081081
3         CACM-2138         38        N         0.50         0.078947
3         CACM-1402         39        N         0.50         0.076923
3         CACM-0303         40        N         0.50         0.075000
3         CACM-2746         41        N         0.50         0.073171
3         CACM-2603         42        N         0.50         0.071429
3         CACM-2534         43        N         0.50         0.069767
3         CACM-3124         44        N         0.50         0.068182
3         CACM-1484         45        N         0.50         0.066667
3         CACM-1135         46        N         0.50         0.065217
3         CACM-1835         47        N         0.50         0.063830
3         CACM-3105         48        N         0.50         0.062500
3         CACM-1783         49        N         0.50         0.061224
3         CACM-2210         50        N         0.50         0.060000
3         CACM-1003         51        N         0.50         0.058824
3         CACM-1392         52        N         0.50         0.057692
3         CACM-1565         53        N         0.50         0.056604
3         CACM-0464         54        N         0.50         0.055556
3         CACM-1457         55        N         0.50         0.054545
3         CACM-1386         56        N         0.50         0.053571
3         CACM-2652         57        N         0.50         0.052632
3         CACM-1572         58        N         0.50         0.051724
3         CACM-2316         59        N         0.50         0.050847
3         CACM-0265         60        N         0.50         0.050000
3         CACM-2295         61        N         0.50         0.049180
3         CACM-1976         62        N         0.50         0.048387
3         CACM-2990         63        N         0.50         0.047619
3         CACM-2424         64        N         0.50         0.046875
3         CACM-2873         65        N         0.50         0.046154
3         CACM-2254         66        N         0.50         0.045455
3         CACM-2666         67        N         0.50         0.044776
3         CACM-1456         68        N         0.50         0.044118
3         CACM-0070         69        N         0.50         0.043478
3         CACM-1671         70        N         0.50         0.042857
3         CACM-2111         71        N         0.50         0.042254
3         CACM-2718         72        N         0.50         0.041667
3         CACM-1194         73        N         0.50         0.041096
3         CACM-2372         74        N         0.50         0.040541
3         CACM-2470         75        N         0.50         0.040000
3         CACM-2542         76        N         0.50         0.039474
3         CACM-1062         77        N         0.50         0.038961
3         CACM-1007         78        N         0.50         0.038462
3         CACM-3077         79        N         0.50         0.037975
3         CACM-1348         80        N         0.50         0.037500
3         CACM-1366         81        N         0.50         0.037037
3         CACM-2871         82        N         0.50         0.036585
3         CACM-2341         83        N         0.50         0.036145
3         CACM-1309         84        N         0.50         0.035714
3         CACM-1314         85        N         0.50         0.035294
3         CACM-1306         86        N         0.50         0.034884
3         CACM-2705         87        N         0.50         0.034483
3         CACM-3101         88        N         0.50         0.034091
3         CACM-0661         89        N         0.50         0.033708
3         CACM-1098         90        N         0.50         0.033333
3         CACM-2179         91        N         0.50         0.032967
3         CACM-2320         92        N         0.50         0.032609
3         CACM-1678         93        N         0.50         0.032258
3         CACM-2870         94        N         0.50         0.031915
3         CACM-1869         95        N         0.50         0.031579
3         CACM-2904         96        N         0.50         0.031250
3         CACM-1682         97        N         0.50         0.030928
3         CACM-2658         98        N         0.50         0.030612
3         CACM-2551         99        N         0.50         0.030303
3         CACM-2423         100       N         0.50         0.030000


QueryID: 4
P@K = 5: 0.166667
P@K = 20: 0.095238


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
4         CACM-2931         1         N         0.00         0.000000
4         CACM-2342         2         N         0.00         0.000000
4         CACM-3128         3         R         0.08         0.333333
4         CACM-2377         4         N         0.08         0.250000
4         CACM-2314         5         N         0.08         0.200000
4         CACM-1135         6         N         0.08         0.166667
4         CACM-3043         7         R         0.17         0.285714
4         CACM-2060         8         N         0.17         0.250000
4         CACM-2438         9         N         0.17         0.222222
4         CACM-0616         10        N         0.17         0.200000
4         CACM-2939         11        N         0.17         0.181818
4         CACM-2851         12        N         0.17         0.166667
4         CACM-2905         13        N         0.17         0.153846
4         CACM-3141         14        N         0.17         0.142857
4         CACM-2848         15        N         0.17         0.133333
4         CACM-2969         16        N         0.17         0.125000
4         CACM-3103         17        N         0.17         0.117647
4         CACM-3105         18        N         0.17         0.111111
4         CACM-3049         19        N         0.17         0.105263
4         CACM-2895         20        N         0.17         0.100000
