##########################################################################################
###################### Effectiveness Evaluation for NoTextTran-SQLM ######################
##########################################################################################

Evaluation Measures:
MAP: 0.01
MRR: 0.05
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-1833         1         N         0.00         0.000000
1         CACM-1085         2         N         0.00         0.000000
1         CACM-0606         3         N         0.00         0.000000
1         CACM-2117         4         N         0.00         0.000000
1         CACM-0983         5         N         0.00         0.000000
1         CACM-3011         6         N         0.00         0.000000
1         CACM-1414         7         N         0.00         0.000000
1         CACM-1335         8         N         0.00         0.000000
1         CACM-1302         9         N         0.00         0.000000
1         CACM-1064         10        N         0.00         0.000000
1         CACM-1119         11        N         0.00         0.000000
1         CACM-1793         12        N         0.00         0.000000
1         CACM-1290         13        N         0.00         0.000000
1         CACM-1063         14        N         0.00         0.000000
1         CACM-1362         15        N         0.00         0.000000
1         CACM-2116         16        N         0.00         0.000000
1         CACM-1490         17        N         0.00         0.000000
1         CACM-1417         18        N         0.00         0.000000
1         CACM-2912         19        N         0.00         0.000000
1         CACM-1442         20        N         0.00         0.000000
1         CACM-0295         21        N         0.00         0.000000
1         CACM-0066         22        N         0.00         0.000000
1         CACM-1971         23        N         0.00         0.000000
1         CACM-0704         24        N         0.00         0.000000
1         CACM-1204         25        N         0.00         0.000000
1         CACM-0231         26        N         0.00         0.000000
1         CACM-0887         27        N         0.00         0.000000
1         CACM-0190         28        N         0.00         0.000000
1         CACM-2033         29        N         0.00         0.000000
1         CACM-1476         30        N         0.00         0.000000
1         CACM-1367         31        N         0.00         0.000000
1         CACM-1249         32        N         0.00         0.000000
1         CACM-1511         33        N         0.00         0.000000
1         CACM-0697         34        N         0.00         0.000000
1         CACM-0174         35        N         0.00         0.000000
1         CACM-0055         36        N         0.00         0.000000
1         CACM-2945         37        N         0.00         0.000000
1         CACM-1461         38        N         0.00         0.000000
