##########################################################################################
##################### Effectiveness Evaluation for NoTextTran-TF-IDF #####################
##########################################################################################

Evaluation Measures:
MAP: 0.13
MRR: 0.35
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-2893         1         N         0.00         0.000000
1         CACM-1833         2         N         0.00         0.000000
1         CACM-3011         3         N         0.00         0.000000
1         CACM-2912         4         N         0.00         0.000000
1         CACM-1417         5         N         0.00         0.000000
1         CACM-2685         6         N         0.00         0.000000
1         CACM-2319         7         N         0.00         0.000000
1         CACM-2796         8         N         0.00         0.000000
1         CACM-1069         9         N         0.00         0.000000
1         CACM-3172         10        N         0.00         0.000000
1         CACM-2626         11        N         0.00         0.000000
1         CACM-1523         12        N         0.00         0.000000
1         CACM-2379         13        N         0.00         0.000000
1         CACM-2917         14        N         0.00         0.000000
1         CACM-2380         15        N         0.00         0.000000
1         CACM-0195         16        N         0.00         0.000000
1         CACM-1304         17        N         0.00         0.000000
1         CACM-2371         18        N         0.00         0.000000
1         CACM-3068         19        N         0.00         0.000000
1         CACM-1735         20        N         0.00         0.000000
1         CACM-1544         21        N         0.00         0.000000
1         CACM-0031         22        N         0.00         0.000000
1         CACM-0414         23        N         0.00         0.000000
1         CACM-0098         24        N         0.00         0.000000
1         CACM-2246         25        N         0.00         0.000000
1         CACM-2629         26        N         0.00         0.000000
1         CACM-1591         27        N         0.00         0.000000
1         CACM-1519         28        N         0.00         0.000000
1         CACM-0069         29        N         0.00         0.000000
1         CACM-1033         30        N         0.00         0.000000
1         CACM-1828         31        N         0.00         0.000000
1         CACM-2126         32        N         0.00         0.000000
1         CACM-1749         33        N         0.00         0.000000
1         CACM-1755         34        N         0.00         0.000000
1         CACM-2740         35        N         0.00         0.000000
1         CACM-1440         36        N         0.00         0.000000
1         CACM-1461         37        N         0.00         0.000000
1         CACM-0827         38        N         0.00         0.000000
1         CACM-0234         39        N         0.00         0.000000
1         CACM-0050         40        N         0.00         0.000000
1         CACM-0067         41        N         0.00         0.000000
1         CACM-1657         42        N         0.00         0.000000
1         CACM-0198         43        N         0.00         0.000000
1         CACM-3127         44        N         0.00         0.000000
1         CACM-0061         45        N         0.00         0.000000
1         CACM-1168         46        N         0.00         0.000000
1         CACM-2607         47        N         0.00         0.000000
1         CACM-0704         48        N         0.00         0.000000
1         CACM-1464         49        N         0.00         0.000000
1         CACM-1605         50        R         0.20         0.020000
1         CACM-2358         51        R         0.40         0.039216
1         CACM-2357         52        N         0.40         0.038462
1         CACM-1107         53        N         0.40         0.037736
1         CACM-0999         54        N         0.40         0.037037
1         CACM-0866         55        N         0.40         0.036364
1         CACM-2621         56        N         0.40         0.035714
1         CACM-1938         57        N         0.40         0.035088
1         CACM-0294         58        N         0.40         0.034483
1         CACM-1410         59        R         0.60         0.050847
1         CACM-2169         60        N         0.60         0.050000
1         CACM-1642         61        N         0.60         0.049180
1         CACM-1441         62        N         0.60         0.048387
1         CACM-2162         63        N         0.60         0.047619
1         CACM-1753         64        N         0.60         0.046875
1         CACM-2632         65        N         0.60         0.046154
1         CACM-0887         66        N         0.60         0.045455
1         CACM-0002         67        N         0.60         0.044776
1         CACM-0656         68        N         0.60         0.044118
1         CACM-1106         69        N         0.60         0.043478
1         CACM-0148         70        N         0.60         0.042857
1         CACM-0135         71        N         0.60         0.042254
1         CACM-1161         72        N         0.60         0.041667
1         CACM-2984         73        N         0.60         0.041096
1         CACM-2597         74        N         0.60         0.040541
1         CACM-0163         75        N         0.60         0.040000
1         CACM-0118         76        N         0.60         0.039474
1         CACM-0594         77        N         0.60         0.038961
1         CACM-0275         78        N         0.60         0.038462
1         CACM-0197         79        N         0.60         0.037975
1         CACM-1173         80        N         0.60         0.037500
1         CACM-1247         81        N         0.60         0.037037
