##########################################################################################
################### Effectiveness Evaluation for QueryRefinement-BM25 ####################
##########################################################################################

Evaluation Measures:
MAP: 0.32
MRR: 0.77
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.333333
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-1605         1         R         0.20         1.000000
1         CACM-1410         2         R         0.40         1.000000
1         CACM-2319         3         N         0.40         0.666667
1         CACM-2054         4         N         0.40         0.500000
1         CACM-0585         5         N         0.40         0.400000
1         CACM-1591         6         N         0.40         0.333333
1         CACM-1827         7         N         0.40         0.285714
1         CACM-1805         8         N         0.40         0.250000
1         CACM-1506         9         N         0.40         0.222222
1         CACM-1572         10        R         0.60         0.300000
1         CACM-1844         11        N         0.60         0.272727
1         CACM-2632         12        N         0.60         0.250000
1         CACM-2188         13        N         0.60         0.230769
1         CACM-2379         14        N         0.60         0.214286
1         CACM-3069         15        N         0.60         0.200000
1         CACM-2003         16        N         0.60         0.187500
1         CACM-1033         17        N         0.60         0.176471
1         CACM-1680         18        N         0.60         0.166667
1         CACM-1523         19        N         0.60         0.157895
1         CACM-1811         20        N         0.60         0.150000
1         CACM-0616         21        N         0.60         0.142857
1         CACM-1161         22        N         0.60         0.136364
1         CACM-3153         23        N         0.60         0.130435
1         CACM-1641         24        N         0.60         0.125000
1         CACM-2344         25        N         0.60         0.120000
1         CACM-0637         26        N         0.60         0.115385
1         CACM-2380         27        N         0.60         0.111111
1         CACM-1956         28        N         0.60         0.107143
1         CACM-1519         29        N         0.60         0.103448
1         CACM-3025         30        N         0.60         0.100000
1         CACM-1647         31        N         0.60         0.096774
1         CACM-2424         32        N         0.60         0.093750
1         CACM-2931         33        N         0.60         0.090909
1         CACM-2622         34        N         0.60         0.088235
1         CACM-1962         35        N         0.60         0.085714
1         CACM-3077         36        N         0.60         0.083333
1         CACM-2767         37        N         0.60         0.081081
1         CACM-1408         38        N         0.60         0.078947
1         CACM-2297         39        N         0.60         0.076923
1         CACM-0972         40        N         0.60         0.075000
1         CACM-2535         41        N         0.60         0.073171
1         CACM-2951         42        N         0.60         0.071429
1         CACM-1698         43        N         0.60         0.069767
1         CACM-2947         44        N         0.60         0.068182
1         CACM-2438         45        N         0.60         0.066667
1         CACM-0397         46        N         0.60         0.065217
1         CACM-2838         47        N         0.60         0.063830
1         CACM-3041         48        N         0.60         0.062500
1         CACM-1264         49        N         0.60         0.061224
1         CACM-1307         50        N         0.60         0.060000
1         CACM-1464         51        N         0.60         0.058824
1         CACM-2233         52        N         0.60         0.057692
1         CACM-2470         53        N         0.60         0.056604
1         CACM-2342         54        N         0.60         0.055556
1         CACM-2541         55        N         0.60         0.054545
1         CACM-0796         56        N         0.60         0.053571
1         CACM-1936         57        N         0.60         0.052632
1         CACM-2201         58        N         0.60         0.051724
1         CACM-2483         59        N         0.60         0.050847
1         CACM-1939         60        N         0.60         0.050000
1         CACM-3015         61        N         0.60         0.049180
1         CACM-2175         62        N         0.60         0.048387
1         CACM-1862         63        N         0.60         0.047619
1         CACM-2911         64        N         0.60         0.046875
1         CACM-1525         65        N         0.60         0.046154
1         CACM-2621         66        N         0.60         0.045455
1         CACM-2740         67        N         0.60         0.044776
1         CACM-2820         68        N         0.60         0.044118
1         CACM-2598         69        N         0.60         0.043478
1         CACM-1699         70        N         0.60         0.042857
1         CACM-2390         71        N         0.60         0.042254
1         CACM-1750         72        N         0.60         0.041667
1         CACM-1366         73        N         0.60         0.041096
1         CACM-0695         74        N         0.60         0.040541
1         CACM-1170         75        N         0.60         0.040000
1         CACM-2950         76        N         0.60         0.039474
1         CACM-2378         77        N         0.60         0.038961
1         CACM-3142         78        N         0.60         0.038462
1         CACM-1350         79        N         0.60         0.037975
1         CACM-2722         80        N         0.60         0.037500
