##########################################################################################
####################### Effectiveness Evaluation for Stopped-BM25 ########################
##########################################################################################

Evaluation Measures:
MAP: 0.38
MRR: 0.83
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.333333
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-1410         1         R         0.20         1.000000
1         CACM-2380         2         N         0.20         0.500000
1         CACM-1605         3         R         0.40         0.666667
1         CACM-1519         4         N         0.40         0.500000
1         CACM-1523         5         N         0.40         0.400000
1         CACM-1506         6         N         0.40         0.333333
1         CACM-3025         7         N         0.40         0.285714
1         CACM-2319         8         N         0.40         0.250000
1         CACM-2951         9         N         0.40         0.222222
1         CACM-1805         10        N         0.40         0.200000
1         CACM-0585         11        N         0.40         0.181818
1         CACM-2379         12        N         0.40         0.166667
1         CACM-2621         13        N         0.40         0.153846
1         CACM-1680         14        N         0.40         0.142857
1         CACM-1572         15        R         0.60         0.200000
1         CACM-2054         16        N         0.60         0.187500
1         CACM-1161         17        N         0.60         0.176471
1         CACM-1544         18        N         0.60         0.166667
1         CACM-1591         19        N         0.60         0.157895
1         CACM-1753         20        N         0.60         0.150000
1         CACM-1642         21        N         0.60         0.142857
1         CACM-2632         22        N         0.60         0.136364
1         CACM-0971         23        N         0.60         0.130435
1         CACM-1938         24        N         0.60         0.125000
1         CACM-3069         25        N         0.60         0.120000
1         CACM-2740         26        N         0.60         0.115385
1         CACM-3048         27        N         0.60         0.111111
1         CACM-1179         28        N         0.60         0.107143
1         CACM-2371         29        N         0.60         0.103448
1         CACM-1844         30        N         0.60         0.100000
1         CACM-1749         31        N         0.60         0.096774
1         CACM-2372         32        N         0.60         0.093750
1         CACM-1464         33        N         0.60         0.090909
1         CACM-2357         34        N         0.60         0.088235
1         CACM-1647         35        N         0.60         0.085714
1         CACM-1264         36        N         0.60         0.083333
1         CACM-3127         37        N         0.60         0.081081
1         CACM-2424         38        N         0.60         0.078947
1         CACM-0637         39        N         0.60         0.076923
1         CACM-1792         40        N         0.60         0.075000
1         CACM-1526         41        N         0.60         0.073171
1         CACM-1341         42        N         0.60         0.071429
1         CACM-2950         43        N         0.60         0.069767
1         CACM-1033         44        N         0.60         0.068182
1         CACM-1046         45        N         0.60         0.066667
1         CACM-1236         46        N         0.60         0.065217
1         CACM-1462         47        N         0.60         0.063830
1         CACM-2947         48        N         0.60         0.062500
1         CACM-1827         49        N         0.60         0.061224
1         CACM-3112         50        N         0.60         0.060000
1         CACM-2128         51        N         0.60         0.058824
1         CACM-0397         52        N         0.60         0.057692
1         CACM-2626         53        N         0.60         0.056604
1         CACM-1225         54        N         0.60         0.055556
1         CACM-2297         55        N         0.60         0.054545
1         CACM-3105         56        N         0.60         0.053571
1         CACM-0796         57        N         0.60         0.052632
1         CACM-2535         58        N         0.60         0.051724
1         CACM-2629         59        N         0.60         0.050847
1         CACM-2188         60        N         0.60         0.050000
1         CACM-1960         61        N         0.60         0.049180
1         CACM-2946         62        N         0.60         0.048387
1         CACM-1195         63        N         0.60         0.047619
1         CACM-1408         64        N         0.60         0.046875
1         CACM-2624         65        N         0.60         0.046154
1         CACM-1750         66        N         0.60         0.045455
1         CACM-1542         67        N         0.60         0.044776
1         CACM-1113         68        N         0.60         0.044118
1         CACM-2627         69        N         0.60         0.043478
1         CACM-2938         70        N         0.60         0.042857
1         CACM-1747         71        N         0.60         0.042254
1         CACM-2988         72        N         0.60         0.041667
1         CACM-2375         73        N         0.60         0.041096
1         CACM-2892         74        N         0.60         0.040541
1         CACM-2452         75        N         0.60         0.040000
1         CACM-1166         76        N         0.60         0.039474
1         CACM-1811         77        N         0.60         0.038961
1         CACM-1685         78        N         0.60         0.038462
1         CACM-0103         79        N         0.60         0.037975
1         CACM-1885         80        N         0.60         0.037500
1         CACM-1735         81        N         0.60         0.037037
1         CACM-0414         82        N         0.60         0.036585
1         CACM-2344         83        N         0.60         0.036145
1         CACM-2249         84        N         0.60         0.035714
1         CACM-1641         85        N         0.60         0.035294
1         CACM-2989         86        N         0.60         0.034884
1         CACM-1962         87        N         0.60         0.034483
1         CACM-1698         88        N         0.60         0.034091
1         CACM-1691         89        N         0.60         0.033708
1         CACM-2920         90        N         0.60         0.033333
1         CACM-2868         91        N         0.60         0.032967
1         CACM-2820         92        N         0.60         0.032609
1         CACM-2767         93        N         0.60         0.032258
1         CACM-2288         94        N         0.60         0.031915
1         CACM-1173         95        N         0.60         0.031579
1         CACM-3014         96        N         0.60         0.031250
1         CACM-2622         97        N         0.60         0.030928
1         CACM-1168         98        N         0.60         0.030612
1         CACM-3068         99        N         0.60         0.030303
1         CACM-2838         100       N         0.60         0.030000


QueryID: 2
P@K = 5: 0.500000
P@K = 20: 0.142857


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
2         CACM-2863         1         R         0.33         1.000000
2         CACM-2434         2         R         0.67         1.000000
2         CACM-3078         3         R         1.00         1.000000
2         CACM-1046         4         N         1.00         0.750000
2         CACM-0397         5         N         1.00         0.600000
2         CACM-1867         6         N         1.00         0.500000
2         CACM-1623         7         N         1.00         0.428571
2         CACM-1397         8         N         1.00         0.375000
2         CACM-1014         9         N         1.00         0.333333
2         CACM-0616         10        N         1.00         0.300000
2         CACM-0531         11        N         1.00         0.272727
2         CACM-0492         12        N         1.00         0.250000
2         CACM-0435         13        N         1.00         0.230769
2         CACM-3202         14        N         1.00         0.214286
2         CACM-2645         15        N         1.00         0.200000
2         CACM-1705         16        N         1.00         0.187500
2         CACM-1625         17        N         1.00         0.176471
2         CACM-1591         18        N         1.00         0.166667
2         CACM-1315         19        N         1.00         0.157895
2         CACM-1305         20        N         1.00         0.150000
2         CACM-3204         21        N         1.00         0.142857
2         CACM-3201         22        N         1.00         0.136364
2         CACM-3199         23        N         1.00         0.130435
2         CACM-3189         24        N         1.00         0.125000
2         CACM-3160         25        N         1.00         0.120000
2         CACM-3127         26        N         1.00         0.115385
2         CACM-3080         27        N         1.00         0.111111
2         CACM-3077         28        N         1.00         0.107143
2         CACM-3005         29        N         1.00         0.103448
2         CACM-2943         30        N         1.00         0.100000
2         CACM-2939         31        N         1.00         0.096774
2         CACM-2937         32        N         1.00         0.093750
2         CACM-2850         33        N         1.00         0.090909
2         CACM-2812         34        N         1.00         0.088235
2         CACM-2519         35        N         1.00         0.085714
2         CACM-2483         36        N         1.00         0.083333
2         CACM-2471         37        N         1.00         0.081081
2         CACM-2456         38        N         1.00         0.078947
2         CACM-2439         39        N         1.00         0.076923
2         CACM-2383         40        N         1.00         0.075000
2         CACM-2356         41        N         1.00         0.073171
2         CACM-2317         42        N         1.00         0.071429
2         CACM-2233         43        N         1.00         0.069767
2         CACM-2217         44        N         1.00         0.068182
2         CACM-2096         45        N         1.00         0.066667
2         CACM-2092         46        N         1.00         0.065217
2         CACM-1939         47        N         1.00         0.063830
2         CACM-1926         48        N         1.00         0.062500
2         CACM-1861         49        N         1.00         0.061224
2         CACM-1854         50        N         1.00         0.060000
2         CACM-1811         51        N         1.00         0.058824
2         CACM-1741         52        N         1.00         0.057692
2         CACM-1680         53        N         1.00         0.056604
2         CACM-1676         54        N         1.00         0.055556
2         CACM-1671         55        N         1.00         0.054545
2         CACM-1564         56        N         1.00         0.053571
2         CACM-1549         57        N         1.00         0.052632
2         CACM-1542         58        N         1.00         0.051724
2         CACM-1523         59        N         1.00         0.050847
2         CACM-1503         60        N         1.00         0.050000
2         CACM-1498         61        N         1.00         0.049180
2         CACM-1486         62        N         1.00         0.048387
2         CACM-1469         63        N         1.00         0.047619
2         CACM-1468         64        N         1.00         0.046875
2         CACM-1464         65        N         1.00         0.046154
2         CACM-1439         66        N         1.00         0.045455
2         CACM-1427         67        N         1.00         0.044776
2         CACM-1424         68        N         1.00         0.044118
2         CACM-1403         69        N         1.00         0.043478
2         CACM-1391         70        N         1.00         0.042857
2         CACM-1348         71        N         1.00         0.042254
2         CACM-1345         72        N         1.00         0.041667
2         CACM-1334         73        N         1.00         0.041096
2         CACM-1264         74        N         1.00         0.040541
2         CACM-1215         75        N         1.00         0.040000
2         CACM-1214         76        N         1.00         0.039474
