##########################################################################################
####################### Effectiveness Evaluation for Stopped-SQLM ########################
##########################################################################################

Evaluation Measures:
MAP: 0.02
MRR: 0.16
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-2893         1         N         0.00         0.000000
1         CACM-3011         2         N         0.00         0.000000
1         CACM-0704         3         N         0.00         0.000000
1         CACM-1417         4         N         0.00         0.000000
1         CACM-2912         5         N         0.00         0.000000
1         CACM-0887         6         N         0.00         0.000000
1         CACM-2685         7         N         0.00         0.000000
1         CACM-2984         8         N         0.00         0.000000
1         CACM-0767         9         N         0.00         0.000000
1         CACM-2053         10        N         0.00         0.000000
1         CACM-2955         11        N         0.00         0.000000
1         CACM-0174         12        N         0.00         0.000000
1         CACM-2560         13        N         0.00         0.000000
1         CACM-2747         14        N         0.00         0.000000
1         CACM-1719         15        N         0.00         0.000000
1         CACM-2373         16        N         0.00         0.000000
1         CACM-0866         17        N         0.00         0.000000
1         CACM-2087         18        N         0.00         0.000000
1         CACM-3012         19        N         0.00         0.000000
1         CACM-1571         20        N         0.00         0.000000
1         CACM-0398         21        N         0.00         0.000000
1         CACM-0190         22        N         0.00         0.000000
1         CACM-2607         23        N         0.00         0.000000
1         CACM-1107         24        N         0.00         0.000000
1         CACM-0069         25        N         0.00         0.000000
1         CACM-0202         26        N         0.00         0.000000
1         CACM-2126         27        N         0.00         0.000000
1         CACM-0391         28        N         0.00         0.000000
1         CACM-2302         29        N         0.00         0.000000
1         CACM-1956         30        N         0.00         0.000000
1         CACM-2358         31        R         0.20         0.032258
1         CACM-2766         32        N         0.20         0.031250
1         CACM-1106         33        N         0.20         0.030303
1         CACM-0999         34        N         0.20         0.029412
1         CACM-0067         35        N         0.20         0.028571
1         CACM-1874         36        N         0.20         0.027778
1         CACM-1505         37        N         0.20         0.027027
1         CACM-2311         38        N         0.20         0.026316
1         CACM-2169         39        N         0.20         0.025641
1         CACM-0798         40        N         0.20         0.025000
1         CACM-0619         41        N         0.20         0.024390
1         CACM-0294         42        N         0.20         0.023810
1         CACM-0197         43        N         0.20         0.023256
1         CACM-1238         44        N         0.20         0.022727
1         CACM-1937         45        N         0.20         0.022222
1         CACM-1461         46        N         0.20         0.021739
1         CACM-0148         47        N         0.20         0.021277
1         CACM-0135         48        N         0.20         0.020833
1         CACM-0006         49        N         0.20         0.020408
1         CACM-1440         50        N         0.20         0.020000
1         CACM-0163         51        N         0.20         0.019608
1         CACM-0031         52        N         0.20         0.019231
1         CACM-2435         53        N         0.20         0.018868
1         CACM-2105         54        N         0.20         0.018519
1         CACM-1070         55        N         0.20         0.018182
1         CACM-0594         56        N         0.20         0.017857
1         CACM-2303         57        N         0.20         0.017544
1         CACM-2841         58        N         0.20         0.017241
1         CACM-0852         59        N         0.20         0.016949
1         CACM-0203         60        N         0.20         0.016667
1         CACM-0073         61        N         0.20         0.016393
1         CACM-0433         62        N         0.20         0.016129
1         CACM-0415         63        N         0.20         0.015873
1         CACM-0171         64        N         0.20         0.015625
1         CACM-0157         65        N         0.20         0.015385
1         CACM-0047         66        N         0.20         0.015152
1         CACM-0234         67        N         0.20         0.014925
1         CACM-0118         68        N         0.20         0.014706
1         CACM-0061         69        N         0.20         0.014493
1         CACM-2849         70        N         0.20         0.014286
1         CACM-2070         71        N         0.20         0.014085
1         CACM-1295         72        N         0.20         0.013889
1         CACM-3162         73        N         0.20         0.013699
1         CACM-1484         74        N         0.20         0.013514
1         CACM-2153         75        N         0.20         0.013333
1         CACM-1682         76        N         0.20         0.013158
1         CACM-1118         77        N         0.20         0.012987
1         CACM-0826         78        N         0.20         0.012821
1         CACM-0705         79        N         0.20         0.012658
1         CACM-2959         80        N         0.20         0.012500
1         CACM-3180         81        N         0.20         0.012346
