##########################################################################################
###################### Effectiveness Evaluation for Stopped-TF-IDF #######################
##########################################################################################

Evaluation Measures:
MAP: 0.18
MRR: 0.45
--------------------------------------------------------------------------------

QueryID: 1
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
1         CACM-2893         1         N         0.00         0.000000
1         CACM-3011         2         N         0.00         0.000000
1         CACM-2912         3         N         0.00         0.000000
1         CACM-1417         4         N         0.00         0.000000
1         CACM-2626         5         N         0.00         0.000000
1         CACM-2319         6         N         0.00         0.000000
1         CACM-2685         7         N         0.00         0.000000
1         CACM-0704         8         N         0.00         0.000000
1         CACM-1523         9         N         0.00         0.000000
1         CACM-1069         10        N         0.00         0.000000
1         CACM-2371         11        N         0.00         0.000000
1         CACM-0887         12        N         0.00         0.000000
1         CACM-1519         13        N         0.00         0.000000
1         CACM-2379         14        N         0.00         0.000000
1         CACM-2380         15        N         0.00         0.000000
1         CACM-1168         16        N         0.00         0.000000
1         CACM-1591         17        N         0.00         0.000000
1         CACM-1544         18        N         0.00         0.000000
1         CACM-2629         19        N         0.00         0.000000
1         CACM-1749         20        N         0.00         0.000000
1         CACM-2796         21        N         0.00         0.000000
1         CACM-1735         22        N         0.00         0.000000
1         CACM-0098         23        N         0.00         0.000000
1         CACM-0069         24        N         0.00         0.000000
1         CACM-3068         25        N         0.00         0.000000
1         CACM-2621         26        N         0.00         0.000000
1         CACM-0866         27        N         0.00         0.000000
1         CACM-1304         28        N         0.00         0.000000
1         CACM-2740         29        N         0.00         0.000000
1         CACM-1410         30        R         0.20         0.033333
1         CACM-1642         31        N         0.20         0.032258
1         CACM-3048         32        N         0.20         0.031250
1         CACM-1755         33        N         0.20         0.030303
1         CACM-0767         34        N         0.20         0.029412
1         CACM-3127         35        N         0.20         0.028571
1         CACM-1605         36        R         0.40         0.055556
1         CACM-0414         37        N         0.40         0.054054
1         CACM-1657         38        N         0.40         0.052632
1         CACM-1874         39        N         0.40         0.051282
1         CACM-2607         40        N         0.40         0.050000
1         CACM-1107         41        N         0.40         0.048780
1         CACM-1161         42        N         0.40         0.047619
1         CACM-2053         43        N         0.40         0.046512
1         CACM-1680         44        N         0.40         0.045455
1         CACM-1753         45        N         0.40         0.044444
1         CACM-2302         46        N         0.40         0.043478
1         CACM-0971         47        N         0.40         0.042553
1         CACM-2424         48        N         0.40         0.041667
1         CACM-1440         49        N         0.40         0.040816
1         CACM-0163         50        N         0.40         0.040000
1         CACM-0031         51        N         0.40         0.039216
1         CACM-1464         52        N         0.40         0.038462
1         CACM-2917         53        N         0.40         0.037736
1         CACM-2358         54        R         0.60         0.055556
1         CACM-1106         55        N         0.60         0.054545
1         CACM-0999         56        N         0.60         0.053571
1         CACM-0067         57        N         0.60         0.052632
1         CACM-2632         58        N         0.60         0.051724
1         CACM-2868         59        N         0.60         0.050847
1         CACM-1462         60        N         0.60         0.050000
1         CACM-1441         61        N         0.60         0.049180
1         CACM-1506         62        N         0.60         0.048387
1         CACM-0234         63        N         0.60         0.047619
1         CACM-0118         64        N         0.60         0.046875
1         CACM-0061         65        N         0.60         0.046154
1         CACM-2357         66        N         0.60         0.045455
1         CACM-0174         67        N         0.60         0.044776
1         CACM-1938         68        N         0.60         0.044118
1         CACM-0252         69        N         0.60         0.043478
1         CACM-1461         70        N         0.60         0.042857
1         CACM-0271         71        N         0.60         0.042254
1         CACM-0148         72        N         0.60         0.041667
1         CACM-0135         73        N         0.60         0.041096
1         CACM-0006         74        N         0.60         0.040541
1         CACM-2317         75        N         0.60         0.040000
1         CACM-1482         76        N         0.60         0.039474
1         CACM-2984         77        N         0.60         0.038961
1         CACM-3025         78        N         0.60         0.038462
1         CACM-2219         79        N         0.60         0.037975
1         CACM-2303         80        N         0.60         0.037500
1         CACM-0818         81        N         0.60         0.037037
